ProblemNo,Connection,Cost
32,22112 : 2 -> 3 ; 12159 : 8 -> 9 ; 19302 : 22 -> 23 ; 11045 : 20 -> 21 ; 12643 : 25 -> 26 ; 11207 : 8 -> 9 ; 12188 : 12 -> 13 ; 12159 : 16 -> 17 ; 22187 : 6 -> 7 ; 01711 : 13 -> 14 ; 01655 : 12 -> 13 ; 11265 : 1 -> 2 ; 15017 : 36 -> 37 ; 13202 : 37 -> 39 ; 11033 : 14 -> 15 ; 12536 : 8 -> 9 ; 11033 : 16 -> 17 ; 22806 : 3 -> 4 ; 12368 : 2 -> 3 ; 15484 : 29 -> 30 ; 12304 : 14 -> 15 ; 12570 : 13 -> 14 ; 12578 : 36 -> 37 ; 12502 : 8 -> 10 ; 13147 : 15 -> 16 ; 06336 : 48 -> 49 ; 12041 : 7 -> 8 ; 12502 : 11 -> 13 ; 05817 : 1 -> 5,64980
33,13049 : 55 -> 56 ; 12323 : 7 -> 8 ; 19046 : 17 -> 19 ; 11082 : 9 -> 10 ; 12792 : 11 -> 12 ; 19050 : 5 -> 6 ; 22182 : 13 -> 14 ; 13201 : 31 -> 32 ; 12577 : 15 -> 16 ; 11034 : 20 -> 21 ; 16230 : 9 -> 10 ; 12160 : 9 -> 10 ; 12913 : 8 -> 9 ; 11046 : 19 -> 20 ; 12804 : 12 -> 13 ; 21028 : 36 -> 37 ; 58835 : 2 -> 4 ; 58837 : 6 -> 7,43980
34,19224 : 14 -> 15 ; 15098 : 3 -> 4 ; 54602 : 8 -> 9 ; 22402 : 4 -> 5 ; 12030 : 5 -> 7 ; 22942 : 5 -> 6 ; 22462 : 8 -> 9 ; 12350 : 1 -> 2 ; 12582 : 2 -> 3 ; 22824 : 3 -> 4 ; 12314 : 3 -> 4 ; 12368 : 2 -> 3 ; 15484 : 29 -> 30 ; 12304 : 14 -> 15 ; 12570 : 13 -> 14 ; 12578 : 36 -> 37 ; 12502 : 8 -> 10 ; 13148 : 10 -> 11 ; 13164 : 17 -> 18 ; 13063 : 8 -> 9 ; 13161 : 9 -> 11,47280
35,54805 : 29 -> 30 ; 16311 : 9 -> 10 ; 19414 : 30 -> 31 ; 19566 : 29 -> 30 ; 14806 : 16 -> 17 ; 11089 : 8 -> 9 ; 16126 : 10 -> 11 ; 22904 : 4 -> 5 ; 11463 : 19 -> 20 ; 19309 : 10 -> 11 ; 11465 : 21 -> 22 ; 12909 : 5 -> 6 ; 11101 : 14 -> 15 ; 59393 : 19 -> 22 ; 12961 : 17 -> 18 ; 22186 : 3 -> 6 ; 19301 : 7 -> 8 ; 12721 : 32 -> 33 ; 12183 : 2 -> 3 ; 12824 : 3 -> 4 ; 18216 : 17 -> 18 ; 22829 : 18 -> 19 ; 08892 : 17 -> 18 ; 11651 : 4 -> 5,57720
36,57229 : 8 -> 9 ; 17255 : 8 -> 9 ; 17402 : 7 -> 9 ; 12516 : 32 -> 33 ; 12389 : 16 -> 17 ; 17651 : 2 -> 3 ; 12657 : 2 -> 3 ; 22619 : 15 -> 16 ; 22207 : 2 -> 3 ; 16561 : 4 -> 5 ; 12601 : 7 -> 8 ; 22207 : 4 -> 5 ; 12695 : 11 -> 12 ; 12511 : 45 -> 46 ; 22610 : 3 -> 4 ; 16855 : 14 -> 15,31740
37,59393 : 47 -> 49 ; 19301 : 7 -> 8 ; 12721 : 32 -> 33 ; 12183 : 2 -> 3 ; 12611 : 8 -> 9 ; 19167 : 34 -> 35 ; 11109 : 2 -> 3 ; 11106 : 2 -> 3 ; 12143 : 9 -> 10 ; 12314 : 3 -> 4 ; 12310 : 5 -> 6 ; 18201 : 17 -> 18 ; 14257 : 1 -> 3,29040
38,13150 : 2 -> 3 ; 15662 : 6 -> 7 ; 15621 : 6 -> 7 ; 12501 : 7 -> 8 ; 15636 : 11 -> 12 ; 12501 : 9 -> 10 ; 18182 : 17 -> 18 ; 13007 : 26 -> 27 ; 14055 : 47 -> 48 ; 03401 : 24 -> 25 ; 12351 : 23 -> 24 ; 12349 : 9 -> 10 ; 12295 : 31 -> 32 ; 12942 : 13 -> 14 ; 13007 : 60 -> 61 ; 15004 : 26 -> 27 ; 12825 : 9 -> 10 ; 12349 : 13 -> 14 ; 12501 : 18 -> 19 ; 22456 : 5 -> 6 ; 14309 : 23 -> 24 ; 14553 : 2 -> 3 ; 12031 : 2 -> 3 ; 12029 : 2 -> 3 ; 12497 : 6 -> 7 ; 13307 : 64 -> 66 ; 14681 : 19 -> 20 ; 16031 : 74 -> 75 ; 14649 : 57 -> 58 ; 15707 : 50 -> 52 ; 13005 : 54 -> 55 ; 15097 : 29 -> 30 ; 19805 : 19 -> 20 ; 19225 : 19 -> 20 ; 14609 : 17 -> 18,52620
39,17201 : 6 -> 7 ; 17250 : 10 -> 11 ; 12514 : 29 -> 30 ; 12976 : 29 -> 30 ; 17405 : 44 -> 45 ; 17221 : 14 -> 15 ; 12214 : 12 -> 13 ; 57129 : 30 -> 31 ; 12702 : 7 -> 8 ; 11027 : 22 -> 23 ; 16339 : 14 -> 15 ; 19420 : 13 -> 14 ; 22692 : 8 -> 9 ; 12214 : 14 -> 15 ; 12735 : 9 -> 10 ; 16531 : 35 -> 36 ; 12591 : 38 -> 39 ; 12214 : 16 -> 18 ; 12628 : 32 -> 33 ; 11013 : 24 -> 25 ; 54702 : 3 -> 5 ; 54704 : 32 -> 33 ; 14888 : 14 -> 15 ; 12456 : 3 -> 4 ; 14888 : 17 -> 18 ; 15910 : 5 -> 7 ; 54702 : 24 -> 28 ; 24888 : 23 -> 24 ; 14888 : 24 -> 25 ; 14712 : 5 -> 6 ; 14526 : 6 -> 7 ; 12486 : 5 -> 7 ; 14501 : 5 -> 6 ; 12421 : 18 -> 19 ; 16031 : 74 -> 75 ; 14649 : 57 -> 58 ; 15707 : 50 -> 52 ; 13005 : 54 -> 55,48120
40,12298 : 3 -> 5 ; 14805 : 20 -> 31,02:03:32:00
41,14805 : 10 -> 33,01:04:28:00
